id,age,gender,signup_date,total_orders,average_order_value,total_spent,frequency_of_purchases,last_purchase_date,product_categories,website_visits,email_open_rate ,social_media_engagement,customer_support_interactions,returns_refunds,payment_method,device_type,loyalty_program_status
1,57,Female,15/02/2021,90,100,,130,07/07/2024,Sports & Outdoors,244,47.79,46,2,2,jcb,Desktop,Platinum
2,83,Male,29/03/2020,97,487,,302,28/04/2024,Health,157,51.1,18,1,2,jcb,Mobile,Platinum
3,88,Male,30/03/2021,97,499,,112,24/02/2024,Health,793,27.75,1,14,4,diners-club-carte-blanche,Mobile,Platinum
4,78,Male,22/05/2018,50,106,,228,20/04/2024,Pets,479,47.53,56,5,8,americanexpress,Desktop,Platinum
5,23,Female,08/05/2020,97,470,,334,05/09/2024,Pets,428,53.04,45,0,3,diners-club-enroute,Desktop,Bronze
6,25,Male,11/04/2019,87,45,,251,17/01/2024,Books,737,16.33,9,19,7,jcb,Mobile,Gold
7,31,Female,01/11/2021,33,438,,299,15/08/2024,Automotive,122,3.03,51,13,9,bankcard,Mobile,Gold
8,94,Female,12/03/2018,97,341,,343,29/12/2023,Toys,132,88.2,33,20,1,jcb,Desktop,Silver
9,55,Male,14/02/2021,5,116,,39,14/10/2023,Sports & Outdoors,1008,66.37,31,9,0,jcb,Mobile,Gold
10,56,Female,05/10/2020,84,107,,162,02/07/2024,Books,319,24.87,24,5,5,maestro,Mobile,Platinum
11,35,Male,28/08/2019,28,47,,176,04/02/2024,Clothing,500,72.11,82,9,8,jcb,Mobile,Gold
12,34,Female,23/11/2023,90,484,,156,02/01/2024,Electronics,809,34.61,96,7,8,jcb,Mobile,Platinum
13,61,Male,29/08/2022,1,126,,314,05/07/2024,Sports & Outdoors,588,60.12,55,3,1,jcb,Desktop,Bronze
14,27,Female,27/04/2022,79,145,,1,10/12/2023,Automotive,253,41.42,34,2,4,mastercard,Desktop,Bronze
15,81,Female,16/12/2022,71,338,,12,05/09/2024,Pets,798,88.32,30,4,10,diners-club-international,Mobile,Bronze
16,23,Male,02/07/2021,100,26,,343,19/12/2023,Pets,769,24.7,66,5,5,diners-club-international,Mobile,Bronze
17,51,Male,28/06/2020,38,213,,329,12/11/2023,Clothing,167,48.47,46,14,1,instapayment,Mobile,Platinum
18,49,Male,28/10/2020,45,477,,332,09/11/2023,Electronics,545,64.3,87,17,1,diners-club-carte-blanche,Mobile,Silver
19,86,Male,24/11/2018,85,244,,59,18/03/2024,Health,626,11.5,79,18,0,jcb,Mobile,Silver
20,70,Male,03/08/2023,88,460,,121,13/03/2024,Toys,1007,22.96,0,13,4,jcb,Desktop,Platinum
21,56,Male,08/07/2018,75,374,,100,14/12/2023,Electronics,826,25.44,22,10,1,switch,Desktop,Platinum
22,92,Female,07/06/2020,14,107,,73,26/04/2024,Beauty,373,18.94,73,17,9,jcb,Mobile,Bronze
23,32,Female,09/04/2018,36,375,,353,31/05/2024,Toys,737,82.79,26,2,8,china-unionpay,Mobile,Platinum
24,63,Female,07/01/2023,22,202,,138,13/06/2024,Books,840,8.4,97,8,2,switch,Desktop,Platinum
25,62,Female,13/01/2020,50,307,,13,29/06/2024,Electronics,314,40.47,97,20,1,switch,Mobile,Gold
26,37,Male,22/09/2020,43,91,,82,25/11/2023,Books,808,2.93,75,13,7,visa,Mobile,Bronze
27,54,Female,12/08/2021,20,41,,84,24/09/2023,Electronics,647,22.28,59,14,2,maestro,Mobile,Bronze
28,89,Male,01/04/2024,39,427,,113,29/09/2023,Beauty,775,27.01,26,7,4,jcb,Mobile,Silver
29,78,Male,14/04/2020,20,246,,235,17/11/2023,Health,590,8.55,75,8,7,americanexpress,Desktop,Gold
30,28,Male,23/07/2022,85,444,,135,16/11/2023,Pets,476,10.94,25,10,10,diners-club-carte-blanche,Mobile,Silver
31,48,Female,05/04/2022,10,236,,299,19/05/2024,Sports & Outdoors,975,61.39,81,0,4,jcb,Mobile,Platinum
32,50,Female,08/06/2019,94,21,,27,01/09/2024,Toys,822,82.57,33,13,5,jcb,Mobile,Platinum
33,47,Female,29/08/2021,54,164,,324,02/01/2024,Health,572,58.65,84,11,10,jcb,Desktop,Bronze
34,43,Male,11/08/2022,43,40,,235,13/05/2024,Clothing,495,60.14,42,4,1,americanexpress,Desktop,Gold
35,24,Male,09/10/2021,71,168,,55,05/06/2024,Clothing,874,56.59,3,6,4,instapayment,Desktop,Platinum
36,73,Male,13/10/2018,64,351,,3,04/04/2024,Electronics,318,59.08,76,9,10,mastercard,Mobile,Bronze
37,19,Male,20/10/2020,63,473,,345,09/04/2024,Books,609,69.91,51,15,5,china-unionpay,Mobile,Gold
38,65,Male,12/10/2018,72,175,,174,29/06/2024,Automotive,124,57.87,60,15,7,visa-electron,Mobile,Gold
39,36,Female,12/05/2020,47,473,,114,01/06/2024,Home & Kitchen,906,59.42,0,11,3,jcb,Desktop,Platinum
40,40,Male,18/04/2018,67,208,,163,05/11/2023,Home & Kitchen,932,2.01,18,10,0,visa-electron,Desktop,Platinum
41,55,Female,06/06/2018,1,390,,346,02/06/2024,Electronics,40,38.85,20,7,10,diners-club-carte-blanche,Mobile,Bronze
42,42,Male,05/04/2024,39,494,,94,09/05/2024,Pets,880,82.28,2,8,8,jcb,Mobile,Silver
43,95,Male,02/04/2020,76,111,,309,02/04/2024,Clothing,441,1.28,79,18,6,instapayment,Mobile,Gold
44,78,Female,17/09/2020,75,91,,194,05/10/2023,Toys,263,53.36,27,2,0,diners-club-enroute,Desktop,Silver
45,65,Female,17/06/2022,94,320,,112,01/02/2024,Books,586,71.62,25,18,8,instapayment,Mobile,Bronze
46,36,Male,15/12/2020,77,334,,316,21/05/2024,Clothing,590,67.51,43,18,6,jcb,Desktop,Silver
47,20,Female,05/03/2021,73,252,,283,19/10/2023,Beauty,556,73.07,38,16,5,americanexpress,Desktop,Platinum
48,35,Female,14/05/2019,57,214,,55,04/09/2024,Books,236,70.54,33,8,8,americanexpress,Desktop,Gold
49,38,Male,13/05/2023,91,74,,324,13/09/2024,Sports & Outdoors,566,60.15,42,13,5,visa-electron,Mobile,Silver
50,82,Male,16/11/2021,90,302,,38,31/07/2024,Books,572,86.54,36,7,10,americanexpress,Desktop,Gold
51,95,Male,29/11/2020,23,394,,336,23/12/2023,Home & Kitchen,945,36.62,38,20,6,americanexpress,Desktop,Gold
52,74,Male,11/07/2023,54,62,,358,21/04/2024,Toys,6,12.01,28,10,1,mastercard,Desktop,Gold
53,25,Female,19/06/2018,80,296,,213,12/07/2024,Pets,711,40.96,27,13,3,jcb,Desktop,Silver
54,45,Male,28/08/2022,93,383,,31,03/02/2024,Beauty,765,6.76,73,7,9,jcb,Desktop,Silver
55,64,Female,19/04/2020,30,88,,117,27/04/2024,Pets,759,85.68,57,2,8,visa,Desktop,Gold
56,24,Female,01/09/2021,27,336,,345,24/08/2024,Home & Kitchen,849,73.77,23,12,6,jcb,Desktop,Bronze
57,26,Female,05/01/2020,83,337,,134,28/10/2023,Clothing,290,39.45,77,5,4,jcb,Desktop,Gold
58,48,Female,18/03/2020,99,287,,159,17/12/2023,Sports & Outdoors,630,98.74,18,3,10,diners-club-enroute,Desktop,Platinum
59,82,Male,09/09/2021,32,308,,227,23/03/2024,Automotive,131,97.0,91,6,6,mastercard,Desktop,Gold
60,56,Male,22/02/2023,79,67,,267,29/06/2024,Clothing,148,59.06,88,12,7,instapayment,Mobile,Bronze
61,41,Male,24/03/2018,54,185,,108,29/12/2023,Health,677,12.94,16,0,3,jcb,Desktop,Platinum
62,79,Male,30/12/2022,20,388,,257,11/12/2023,Electronics,743,62.92,65,16,8,jcb,Mobile,Gold
63,50,Female,10/06/2023,98,422,,302,03/06/2024,Automotive,372,13.05,23,1,1,mastercard,Mobile,Silver
64,82,Male,16/10/2023,36,445,,192,16/07/2024,Beauty,555,25.19,87,6,0,jcb,Desktop,Silver
65,73,Female,20/09/2021,69,414,,340,25/11/2023,Health,955,28.32,65,0,10,diners-club-enroute,Mobile,Bronze
66,42,Male,01/06/2024,26,254,,242,18/12/2023,Pets,899,42.79,99,20,4,jcb,Mobile,Silver
67,78,Female,07/05/2020,16,480,,63,07/02/2024,Electronics,490,93.33,24,8,7,china-unionpay,Desktop,Gold
68,44,Female,15/11/2018,68,159,,287,12/08/2024,Beauty,355,77.71,74,15,6,mastercard,Mobile,Silver
69,62,Female,07/03/2020,58,159,,186,27/10/2023,Clothing,956,6.74,8,13,9,jcb,Mobile,Platinum
70,53,Male,09/09/2022,96,254,,263,28/05/2024,Home & Kitchen,3,48.02,75,8,3,jcb,Mobile,Platinum
71,44,Female,13/08/2019,64,217,,133,07/11/2023,Sports & Outdoors,479,65.7,98,13,9,diners-club-enroute,Desktop,Platinum
72,75,Female,26/07/2019,37,45,,308,26/12/2023,Automotive,815,1.9,42,14,9,bankcard,Desktop,Silver
73,90,Male,15/05/2021,50,391,,330,27/04/2024,Books,365,51.56,89,2,7,switch,Mobile,Platinum
74,36,Female,18/06/2024,96,490,,16,09/07/2024,Books,974,52.1,44,3,3,maestro,Desktop,Silver
75,59,Male,23/05/2021,69,346,,284,21/12/2023,Home & Kitchen,617,88.2,25,6,1,jcb,Mobile,Bronze
76,88,Male,26/02/2024,52,68,,345,16/11/2023,Home & Kitchen,505,58.75,5,11,7,americanexpress,Mobile,Silver
