age,total_orders,average_order_value,total_spent,frequency_of_purchases,website_visits,social_media_engagement,customer_support_interactions,returns_refunds,email_open_rate,account_age_days,days_since_last_purchase,gender_Male,product_categories_Beauty,product_categories_Books,product_categories_Clothing,product_categories_Electronics,product_categories_Health,product_categories_Home & Kitchen,product_categories_Pets,product_categories_Sports & Outdoors,product_categories_Toys,payment_method_bankcard,payment_method_china-unionpay,payment_method_diners-club-carte-blanche,payment_method_diners-club-enroute,payment_method_diners-club-international,payment_method_diners-club-us-ca,payment_method_instapayment,payment_method_jcb,payment_method_laser,payment_method_maestro,payment_method_mastercard,payment_method_solo,payment_method_switch,payment_method_visa,payment_method_visa-electron,device_type_Mobile,loyalty_program_status_Gold,loyalty_program_status_Platinum,loyalty_program_status_Silver
57,90,100,9000,13.755555555555556,244,46,2,2,47.79,1312,74,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
83,97,487,47239,15.371134020618557,157,18,1,2,51.1,1635,144,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
88,97,499,48403,10.938144329896907,793,1,14,4,27.75,1269,208,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
78,50,106,5300,43.2,479,56,5,8,47.53,2312,152,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
23,97,470,45590,16.298969072164947,428,45,0,3,53.04,1595,14,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,87,45,3915,20.022988505747126,737,9,19,7,16.33,1988,246,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
31,33,438,14454,30.848484848484848,122,51,13,9,3.03,1053,35,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
94,97,341,33077,21.835051546391753,132,33,20,1,88.2,2383,265,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
55,5,116,580,194.4,1008,31,9,0,66.37,1313,341,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
56,84,107,8988,16.261904761904763,319,24,5,5,24.87,1445,79,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
35,28,47,1316,57.892857142857146,500,82,9,8,72.11,1849,228,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
34,90,484,43560,0.4444444444444444,809,96,7,8,34.61,301,261,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
61,1,126,126,676.0,588,55,3,1,60.12,752,76,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
27,79,145,11455,7.493670886075949,253,34,2,4,41.42,876,284,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
81,71,338,23998,8.859154929577464,798,30,4,10,88.32,643,14,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
23,100,26,2600,9.0,769,66,5,5,24.7,1175,275,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
51,38,213,8094,32.421052631578945,167,46,14,1,48.47,1544,312,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
49,45,477,21465,24.6,545,87,17,1,64.3,1422,315,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
86,85,244,20740,22.83529411764706,626,79,18,0,11.5,2126,185,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
70,88,460,40480,2.534090909090909,1007,0,13,4,22.96,413,190,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
56,75,374,28050,26.466666666666665,826,22,10,1,25.44,2265,280,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
92,14,107,1498,101.35714285714286,373,73,17,9,18.94,1565,146,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
32,36,375,13500,62.333333333333336,737,26,2,8,82.79,2355,111,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
63,22,202,4444,23.772727272727273,840,97,8,2,8.4,621,98,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
62,50,307,15350,32.58,314,97,20,1,40.47,1711,82,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
37,43,91,3913,26.953488372093023,808,75,13,7,2.93,1458,299,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
54,20,41,820,38.65,647,59,14,2,22.28,1134,361,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
78,20,246,4920,65.6,590,75,8,7,8.55,1619,307,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
28,85,444,37740,5.658823529411765,476,25,10,10,10.94,789,308,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
48,10,236,2360,77.5,975,81,0,4,61.39,898,123,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
